id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link
3;AGGH;large_airport;Honiara International Airport;-9.428;160.054993;28;OC;SB;SB-GU;Honiara;yes;AGGH;HIR;;;https://en.wikipedia.org/wiki/Honiara_International_Airport
4;AGGM;medium_airport;Munda Airport;-8.32797;157.263;10;OC;SB;SB-WE;Munda;yes;AGGM;MUA;;;https://en.wikipedia.org/wiki/Munda_Airport
8;ANYN;medium_airport;Nauru International Airport;-0.547458;166.919006;22;OC;NR;NR-14;Yaren District;yes;ANYN;INU;;;https://en.wikipedia.org/wiki/Nauru_International_Airport
53;AYBK;medium_airport;Buka Airport;-5.4223198890686035;154.67300415039062;11;OC;PG;PG-NSB;Buka Island;yes;AYBK;BUA;;;https://en.wikipedia.org/wiki/Buka_Airport
54;AYCH;medium_airport;Chimbu Airport;-6.024290084838867;144.9709930419922;4974;OC;PG;PG-CPK;Kundiawa;yes;AYCH;CMU;;;https://en.wikipedia.org/wiki/Chimbu_Airport
55;AYDU;medium_airport;Daru Airport;-9.08676;143.207993;20;OC;PG;PG-WPD;Daru;yes;AYDU;DAU;;;https://en.wikipedia.org/wiki/Daru_Airport
56;AYGA;medium_airport;Goroka Airport;-6.081689834590001;145.391998291;5282;OC;PG;PG-EHG;Goronka;yes;AYGA;GKA;;;https://en.wikipedia.org/wiki/Goroka_Airport
57;AYGN;medium_airport;Gurney Airport;-10.3114995956;150.333999634;88;OC;PG;PG-MBA;Gurney;yes;AYGN;GUR;;;https://en.wikipedia.org/wiki/Gurney_Airport
58;AYGR;medium_airport;Girua Airport;-8.80453968048;148.309005737;311;OC;PG;PG-NPP;Popondetta;yes;AYGR;PNP;;;https://en.wikipedia.org/wiki/Girua_Airport
59;AYHK;medium_airport;Hoskins Airport;-5.463846;150.407327;66;OC;PG;PG-WBK;Kimbe;yes;AYHK;HKN;;;https://en.wikipedia.org/wiki/Hoskins_Airport
60;AYKM;medium_airport;Kerema Airport;-7.96361017227;145.770996094;10;OC;PG;PG-GPK;Kerema;yes;AYKM;KMA;;;https://en.wikipedia.org/wiki/Kerema_Airport
61;AYKV;medium_airport;Kavieng Airport;-2.57940006256;150.807998657;7;OC;PG;PG-NIK;Kavieng;yes;AYKV;KVG;;;https://en.wikipedia.org/wiki/Kavieng_Airport
62;AYMD;medium_airport;Madang Airport;-5.20707988739;145.789001465;20;OC;PG;PG-MPM;Madang;yes;AYMD;MAG;;;https://en.wikipedia.org/wiki/Madang_Airport
63;AYMH;medium_airport;Mount Hagen Kagamuga Airport;-5.828212;144.299412;5388;OC;PG;PG-WHM;Mount Hagen;yes;AYMH;HGU;;;https://en.wikipedia.org/wiki/Mount_Hagen_Airport
