@ident;@phi;@lambda;@alt;@theta;@length;@width;@number;@designator;Vasi.PRIMARY.@biasZ;Vasi.PRIMARY.@pitch;Vasi.SECONDARY.@biasZ;Vasi.SECONDARY.@pitch;OffsetThreshold.PRIMARY.@length;OffsetThreshold.SECONDARY.@length;RunwayDeformation.0;RunwayDeformation.
AGGH;-0.164553361645157;2.7934774164614367;7.9248;1.1898668729069963;2202.931;42.169;6;;796.532;0.0523598775598298;796.532;0.0523598775598298;;;10.3632;5.486400000000001
AGGM;-0.1453327539439823;2.74475809363561;2.4384;1.3790272280344684;1373.174;38.418;7;;;;;;;;2.1336;2.7432000000000003
ANYN;-0.0095554122384171;2.91328774659307;7.010400000000001;2.277937242658498;2145.654;42.472;12;;;;651.115;0.0523598775598298;58.201;116.912;7.657;6.327
AYBK;-0.094636697198301;2.699547378915489;2.4384;0.8315203214771131;1561.666;25.0;4;;491.479;0.0523598775598298;476.033;0.0523598775598298;;;3.048;1.8288
AYCH;-0.1051363996501958;2.5302168816891744;1514.5512;3.7497444283997328;993.687;27.214;21;;;;;;;;1528.572;1500.5304
AYDU;-0.1585965113698614;2.4994487574371087;3.9624;5.497287456017292;1398.879;28.473;32;;;;;;;;4.2672;3.6576
AYGA;-0.1061644038878415;2.537557461312828;1584.6552;6.1970826301251;1644.475;27.931;35;L;;;;;;;1551.7368;1609.6488000000002
AYGA;-0.1061251040565601;2.53757274588092;1584.6552;6.195737330337662;1253.871;15.5448;35;R;;;;;;;1565.743;1609.6488000000002
AYGN;-0.1799508787164044;2.623825646820455;19.964;4.908564337374703;1690.738;28.336;27;;540.569;0.0523598775598298;540.569;0.0523598775598298;;;14.0208;25.908
AYGR;-0.1536664072226633;2.58847933019211;90.982;0.6596341008218669;1666.682;31.826;3;;;;;;;;102.108;79.8576
AYKM;-0.1389917589360881;2.5441905191377394;2.286;2.5480278170692463;943.617;13.402;14;;;;;;;;2.1336;2.4384
AYKV;-0.0450180620629831;2.632096049373061;4.114;5.325544614160098;1694.657;27.542;30;;;;541.747;0.0523598775598298;;;4.572;3.6576
AYMD;-0.0909094452575826;2.5444768141564094;3.3528;1.3111155941747432;1444.014;32.0;7;;384.245;0.0523598775598298;367.324;0.0523598775598298;;;5.664;1.042
AYMH;-0.1017203864566776;2.5184986894118118;1635.784;2.1247125186978884;2186.1;27.634;12;;788.25;0.0523598775598298;;;;;1644.0912;1630.0704
AYMH;-0.1016809988503115;2.51847184974145;1635.784;1.4836316168905714;1093.843;16.29;8;;;;;;;;1638.9096000000002;1630.0704
AYMN;-0.1073064981806531;2.5072901231776568;1728.8256;3.0160752060375184;1335.824;28.951;17;;;;;;;;1728.8256;1728.8256
AYMO;-0.0359874336496331;2.5730373599168272;4.8768;2.805969329089788;1852.0;42.672;16;;627.937;0.0523598775598298;;;;;4.8768;4.8768
AYNZ;-0.1146650404877624;2.56085579321425;69.1896;1.65785013847855;2437.859;33.857;9;;;;;;;;72.5424;65.8368
AYPY;-0.1647845027016812;2.569481649750084;35.3568;2.591969971646708;2749.79;43.575;14;L;1012.388;0.0523598775598298;1005.631;0.0523598775598298;;;31.3944;39.0144
AYPY;-0.1647540213405817;2.5694058432857734;35.3568;2.59219058126416;1308.61;30.729;14;R;;;;;;;31.6992;39.3192
AYVN;-0.0469940723260278;2.466199765991728;4.724;2.2641236597606635;1757.657;27.392;12;;180.358;0.0523598775598298;471.627;0.0523598775598298;147.5232;;3.56;5.7912
AYWD;-0.0983552242955948;2.511393885369157;1793.1384;2.4234128792731777;1541.631;25.0;14;;;;;;;;1791.574;1794.782
AYWK;-0.0625477295697115;2.507495766547338;4.419;4.955138099398321;1598.404;25.722;28;;;;;;;;4.572;4.2672
