@ident;@phi;@lambda;@alt;@theta;@length;@width;@number;@designator;Vasi.PRIMARY.@biasZ;Vasi.PRIMARY.@pitch;Vasi.SECONDARY.@biasZ;Vasi.SECONDARY.@pitch;OffsetThreshold.PRIMARY.@length;OffsetThreshold.SECONDARY.@length;RunwayDeformation.0;RunwayDeformation.
AGAF;-0.1604156675564471;2.8090934778892667;4.8768;1.2199237115543662;477.865;19.728;6;;;;;;;;4.463;5.29
AGAR;-0.172099941590503;2.8270778125328015;4.572;2.1041758228016167;886.03;25.0;11;;;;;;;;4.0;5.152
AGAT;-0.1548684753050525;2.8101795560735443;5.1816;5.588439545130724;822.407;18.601;31;;;;;;;;7.53;2.833
AGBA;-0.13809090568622;2.735035485465192;7.206;2.538708107929447;819.217;25.0;14;;;;;;;;7.295;7.118
AGBT;-0.1494412481878301;2.759700003401365;8.037;0.08305169316901415;726.717;50.0;1;;;;;;;;8.037;8.037
AGEV;-0.13222541171913846;2.733136360324721;36.576;6.029352474751166;669.224;16.037;34;;;;;;;;46.133;27.019
AGGA;-0.1518891724165571;2.804424771845587;3.3528000000000002;3.286834241551781;936.647;7.148;18;;;;;;;;2.667;4.038
AGGB;-0.1972584635553554;2.789002424178141;17.0688;1.9769058901474146;684.11;8.057;10;;;;;;;;15.101;19.037
AGGC;-0.11714047342805198;2.7296248341850866;1.524;2.5770653834334514;896.129;25.0;14;;;;;;;;1.876;1.172
AGGD;-0.15251567000983943;2.761152560119516;16.241;4.501983779470241;579.056;25.0;25;;;;;;;;19.521;12.963
AGGE;-0.12201280401446367;2.7207210778298;1.524;0.9045789487542621;1667.707;38.936;4;;;;;;;;1.188;1.86
AGGF;-0.14148194394228897;2.7851484113611327;2.7432000000000003;3.264699975977989;870.5088000000001;19.69;18;;;;;;;;5.108;0.379
AGGH;-0.16455336164515708;2.7934774164614367;7.9248;1.1898668729069963;2202.931;42.169;6;;796.532;0.05235987755982989;796.532;0.05235987755982989;;;10.3632;5.486400000000001
AGGI;-0.17012527721209128;2.789727602422821;21.336000000000002;3.0971338815537415;773.576;42.55;17;;;;;;;;22.763;19.909
AGGJ;-0.17223015885457477;2.7996879523361367;2.4384;5.745785515054067;727.311;25.0;32;;;;;;;;2.775;2.102
AGGK;-0.18237409133293644;2.8256522047162282;3.048;5.098663505106822;1331.513;29.528;28;;;;;;;;1.697;4.399
AGGL;-0.18708872520207548;2.893712123784091;6.7056000000000004;4.261013500030243;915.173;10.955;23;;;;;;;;8.66;4.751
AGGM;-0.14533275394398232;2.74475809363561;2.4384;1.3790272280344684;1373.174;38.418;7;;;;;;;;2.1336;2.7432000000000003
AGGN;-0.14134538346542552;2.737795438416882;4.2672;2.5943966774386804;1114.539;22.732;14;;;;;;119.872;119.947;5.206;3.328
AGGO;-0.12942177603360147;2.715148935998203;10.668000000000001;3.8793993534767854;1031.017;51.984;21;;;;;;;;7.192;14.144
AGGP;-0.1682742294113776;2.817403664011399;30.48;2.225305791867058;794.357;30.589;12;;;;;;;;30.227;30.733
AGGR;-0.20159009376799764;2.7936284520250547;28.651200000000003;2.239886796036994;581.234;19.214;12;;;;;;;;27.828;29.474
AGGS;-0.14972237422928672;2.755451182154239;2.4384;4.979878141545341;903.837;31.642;28;;;;;;;;2.567;2.31
AGGT;-0.18933899749494887;2.835363998996204;40.2336;2.0980915352159943;807.212;21.362;11;;;;;;;;39.812;40.655
AGGU;-0.17212221890701415;2.806936278395154;0.9144000000000001;4.041351945427843;612.903;29.492;22;;;;;;;;1.969;-0.14
AGGV;-0.13239302702098857;2.770377175371292;6.096;3.9724875363294543;938.576;43.658;22;;;;;;;;4.031;8.161
AGGY;-0.1587021633135461;2.7788909840855984;6.096;2.227907728715931;1465.116;25.0;12;;;;;;;;2.96;9.232
AGGZ;-0.14847790492928806;2.7521760011583756;26.429;2.132650625201809;813.046;25.0;11;;;;;;;;27.513;25.346
AGKG;-0.12793178811819556;2.750371509262617;3.048;2.6367167230093385;794.9184;14.199;14;;;;;;;;3.727;2.369
AGKU;-0.1400830665648598;2.739255649122424;6.096;5.598210770948014;597.543;25.0;31;;;;;;;;6.378;5.814
AGKW;-0.14591989318926005;2.8060506004821613;8.0;1.4466613545431268;465.0;15.782;7;;;;;;;;7.96;8.04
AGNA;-0.1863268784280994;2.8310076708252687;6.096;2.252103577202179;822.13;41.803;12;;;;;;;;9.06;3.132
AGOB;-0.14532670916647877;2.8065331449858864;4.2672;2.231847634969383;837.277;25.0;12;;;;;;;;5.138;3.396
AGOK;-0.15251259788187296;2.761128888154436;17.576;1.4553302304048574;731.0;18.189;7;;;;;;;;17.576;17.576
AGRC;-0.1418128560118192;2.7426639751690747;7.9248;3.4295131625730657;1242.071;42.204;19;;;;;;;;9.745;6.105
AGRM;-0.14256130245618923;2.7513804233946066;15.24;2.2846099854547224;681.42;25.0;12;;;;;;;;16.79;13.69
ANYN;-0.009555412238417112;2.91328774659307;7.010400000000001;2.277937242658498;2145.654;42.472;12;;;;651.115;0.05235987755982989;58.201;116.912;7.657;6.327
AYAA;-0.07156848036019042;2.4726007464925446;43.811;2.4414951884555403;682.455;25.0;14;;;;;;;;51.026;36.597
AYAD;-0.12253403002276193;2.5450772269450597;1645.482;5.410496246572894;476.383;25.0;30;;;;;;;;1660.601;1630.364
AYAE;-0.06067929059887154;2.47906348944411;543.812;4.690614252636809;780.337;48.973;27;;;;;;;;549.512;538.114
AYAG;-0.07568798745133894;2.521669390749011;12.767;2.8043685130998584;274.861;33.019;16;;;;;;;;12.594;12.941
AYAI;-0.054859597671015684;2.4844202429210607;2.839;2.9616188389801934;464.443;15.0;17;;;;;;;;1.863;3.817
AYAJ;-0.10404725128850917;2.496875316787738;1980.523;4.943977416963518;681.793;12.964;28;;;;;;;;2012.273;1948.775
AYAK;-0.12818449843888047;2.4656024350838313;21.771;2.36668287179928;805.88;28.485;13;;;;;;;;20.884;22.659
AYAL;-0.1742625148703605;2.6132565591393395;621.723;3.837467294598846;658.465;25.0;21;;;;;;;;627.48;615.967
AYAN;-0.08027782270497184;2.5105410002278297;26.437;6.1217535214773235;530.773;17.71;35;;;;;;;;28.437;24.439
AYAO;-0.07618505190464002;2.5143481372484633;12.098;3.6871197459101492;761.708;41.391;21;;;;;;;;10.152;14.046
AYAQ;-0.09392646802583383;2.5119654923255483;1556.605;4.06036189710764;807.304;15.583;23;;;;;;;;1530.614;1582.597
AYAS;-0.14003196976218715;2.570384180479349;540.194;1.9023437838927197;601.13;37.097;10;;;;;;;;549.477;530.912
AYAU;-0.09590772723894694;2.4873346098018536;1467.399;5.541066771375542;549.128;25.0;31;;;;;;;;1470.502;1464.298
AYAV;-0.0659247062572026;2.4892341718671904;188.562;2.9012700658352095;390.856;32.844;16;;;;;;;;205.714;171.411
AYAX;-0.12830173669375294;2.5515697900187533;1244.874;2.865286089048067;593.129;36.825;16;;;;;;;;1265.208;1224.542
AYAY;-0.11061802976495005;2.546505417299682;1631.618;2.479679676363597;1275.715;16.173;14;;;;;;;;1617.665;1645.573
AYAZ;-0.15018917383336391;2.5759815625242073;352.375;1.774142194483803;358.359;25.0;10;;;;;;;;358.233;346.518
AYBA;-0.13084935586374585;2.527613620917676;5.192;3.9943725688860616;988.225;32.33;22;;;;;;;;6.581;3.805
AYBB;-0.09195245318304927;2.4800559876846933;1620.403;1.8423137078691503;570.27;27.157;10;;;;;;;;1647.775;1593.033
AYBC;-0.10233685428360854;2.5567753050741113;2081.699;4.378565439409341;447.019;25.0;25;;;;;;;;2102.022;2061.377
AYBE;-0.16786644977429035;2.596096202375886;148.093;5.100351238493501;630.6312;38.512;29;;;;;;;;149.9616;146.227
AYBF;-0.13695792244720612;2.5000410246978935;14.578;5.101009227621503;496.883;38.266;29;;;;;;;;12.824;16.334
AYBG;-0.11077342677500213;2.5646139244297856;1333.263;4.989998956811806;471.624;22.433;28;;;;;;;;1347.784;1318.744
AYBH;-0.154556364658677;2.46541086693663;9.732;2.5554716463290026;1368.864;30.265;14;;;;;;;;8.121;11.345
AYBI;-0.052741333253943055;2.463798083628208;167.918;5.660461603911821;765.735;56.728;32;;;;;;;;168.352;167.485
AYBJ;-0.0936302505214715;2.525326428473597;1215.8472000000002;5.224659172874143;482.931;25.0;29;;;;;;;;1207.727;1223.973
AYBK;-0.09463669719830109;2.699547378915489;2.4384;0.8315203214771131;1561.666;25.0;4;;491.479;0.05235987755982989;476.033;0.05235987755982989;;;3.048;1.8288000000000002
AYBN;-0.1202749977764299;2.5077392039179576;60.234;1.1228193515599332;425.444;39.419;1;;;;;;;;60.234;60.234
AYBO;-0.11119781345812522;2.524386251985758;997.762;3.1024847119745056;1905.056;50.0;19;;;;;;;;997.762;997.762
AYBP;-0.1351476256925085;2.5659962298712125;888.934;2.5927077223215256;602.496;21.12;14;;;;;;;;887.33;890.539
AYBS;-0.09404261786965533;2.538535853122012;276.775;2.150741661030431;387.217;25.0;12;;;;;;;;269.94;283.611
AYBT;-0.11435057161744314;2.512295807524502;1371.197;1.9012704064027433;569.202;25.0;10;;;;;;;;1367.051;1375.344
AYBU;-0.12594124230111525;2.5595175079531063;668.4264000000001;2.670395643453372;1385.544;20.465;15;;;;;;;;663.169;673.684
AYBW;-0.04568986330334425;2.4625151083738053;11.044;5.658608762377904;457.347;13.307;5;;;;;;;;11.044;11.044
AYBY;-0.11935320139133902;2.54596775784496;1946.646;0.33279287169216887;501.629;33.112;1;;;;;;;;1955.782;1937.51
AYCB;-0.08388633251103235;2.5257563313331572;33.456;2.863492065109942;1062.107;39.876;16;;;;;;;;34.258;32.656
AYCG;-0.09527550085846621;2.5906236794138144;16.732;5.460999093808602;560.309;50.0;1;;;;;;;;16.732;16.732
