id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,local_code,home_link,wikipedia_link
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28.0,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,,,https://en.wikipedia.org/wiki/Honiara_International_Airport
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22.0,OC,NR,NR-14,Yaren District,yes,ANYN,INU,,,https://en.wikipedia.org/wiki/Nauru_International_Airport
53,AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,11.0,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,,,https://en.wikipedia.org/wiki/Buka_Airport
55,AYDU,medium_airport,Daru Airport,-9.08676,143.207993,20.0,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,,,https://en.wikipedia.org/wiki/Daru_Airport
58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311.0,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,,,https://en.wikipedia.org/wiki/Girua_Airport
62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20.0,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,,,https://en.wikipedia.org/wiki/Madang_Airport
66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239.0,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,,,https://en.wikipedia.org/wiki/Lae_Nadzab_Airport
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,146.0,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,,,https://en.wikipedia.org/wiki/Jacksons_International_Airport
71,AYWK,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,19.0,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,,,https://en.wikipedia.org/wiki/Wewak_International_Airport
31697,BGAA,medium_airport,Aasiaat Airport,68.721802,-52.784698,74.0,NA,GL,GL-QK,Aasiaat,yes,BGAA,JEG,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/,https://en.wikipedia.org/wiki/Aasiaat_Airport
31694,BGJN,medium_airport,Ilulissat Airport,69.243202,-51.057098,95.0,NA,GL,GL-AV,Ilulissat,yes,BGJN,JAV,,,https://en.wikipedia.org/wiki/Ilulissat_Airport
31700,BGSS,medium_airport,Sisimiut Airport,66.951302,-53.729301,33.0,NA,GL,GL-QA,Sisimiut,yes,BGSS,JHS,,https://www.mit.gl/en/todays-flights/airports/sisimiut-airport/,https://en.wikipedia.org/wiki/Sisimiut_Airport
119,BIEG,medium_airport,Egilsstaðir Airport,65.2833023071289,-14.401399612426758,76.0,EU,IS,IS-7,Egilsstaðir,yes,BIEG,EGS,,,https://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport
120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,24.0,EU,IS,IS-8,Höfn,yes,BIHN,HFN,,,https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport
121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,48.0,EU,IS,IS-6,Húsavík,yes,BIHU,HZK,,,https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport
125,BIRK,medium_airport,Reykjavik Airport,64.1299972534,-21.9405994415,48.0,EU,IS,IS-1,Reykjavik,yes,BIRK,RKV,,,https://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport
126,BISI,medium_airport,Siglufjörður Airport,66.137847,-18.908157,10.0,EU,IS,IS-6,Siglufjörður,no,BISI,SIJ,,,https://en.wikipedia.org/wiki/Siglufj%C3%B6r%C3%B0ur_Airport
128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,326.0,EU,IS,IS-8,Vestmannaeyjar,no,BIVM,VEY,,,https://en.wikipedia.org/wiki/Vestmannaeyjar_Airport
4614,BKPR,medium_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789.0,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport
1654,CYAG,medium_airport,Fort Frances Municipal Airport,48.655749,-93.44349,1125.0,NA,CA,CA-ON,Fort Frances,yes,CYAG,YAG,,,https://en.wikipedia.org/wiki/Fort_Frances_Municipal_Airport
1657,CYAM,medium_airport,Sault Ste Marie Airport,46.483216,-84.508467,630.0,NA,CA,CA-ON,Sault Ste Marie,yes,CYAM,YAM,,http://www.saultairport.com/,https://en.wikipedia.org/wiki/Sault_Ste._Marie_Airport
1662,CYAV,medium_airport,Winnipeg / St. Andrews Airport,50.0564,-97.032501,760.0,NA,CA,CA-MB,Winnipeg/Saint Andrews,yes,CYAV,,,,https://en.wikipedia.org/wiki/Winnipeg/St._Andrews_Airport
1666,CYAZ,medium_airport,Tofino / Long Beach Airport,49.079833,-125.775583,80.0,NA,CA,CA-BC,Tofino,yes,CYAZ,YAZ,,http://www.acrd.bc.ca/long-beach-airport,https://en.wikipedia.org/wiki/Tofino_Airport
1669,CYBC,medium_airport,Baie-Comeau Airport,49.1325,-68.204399,71.0,NA,CA,CA-QC,Baie-Comeau,yes,CYBC,YBC,YBC,,https://en.wikipedia.org/wiki/Baie-Comeau_Airport
1670,CYBD,medium_airport,Bella Coola Airport,52.387501,-126.596001,117.0,NA,CA,CA-BC,Bella Coola,yes,CYBD,QBC,,,https://en.wikipedia.org/wiki/Bella_Coola_Airport
1672,CYBF,medium_airport,Bonnyville Airport,54.304199,-110.744003,1836.0,NA,CA,CA-AB,Bonnyville,yes,CYBF,YBY,,http://town.bonnyville.ab.ca/livingin/airport/index.html,https://en.wikipedia.org/wiki/Bonnyville_Airport
1673,CYBG,medium_airport,CFB Bagotville / Saguenay-Bagotville Airport,48.331908,-70.992909,522.0,NA,CA,CA-QC,La Baie,yes,CYBG,YBG,,,https://en.wikipedia.org/wiki/CFB_Bagotville
1675,CYBL,medium_airport,Campbell River Airport,49.950802,-125.271004,346.0,NA,CA,CA-BC,Campbell River,yes,CYBL,YBL,YBL,,https://en.wikipedia.org/wiki/Campbell_River_Airport
1678,CYBR,medium_airport,Brandon Municipal Airport,49.91,-99.951897,1343.0,NA,CA,CA-MB,Brandon,yes,CYBR,YBR,,,https://en.wikipedia.org/wiki/Brandon_Airport
1682,CYBW,medium_airport,Calgary / Springbank Airport,51.1031,-114.374001,3940.0,NA,CA,CA-AB,Calgary,no,CYBW,,,http://www.ybw.ca/,https://en.wikipedia.org/wiki/Calgary/Springbank_Airport
